Codigo_Transacao,CPF_Cliente,Nome_Cliente,Data_Transacao,Moeda,Valor_Transacao,Tipo_Transacao,Status_Transacao,Categoria,Banco,Num_Parcelas,Taxa_Servico,Valor_Final
FIN000384,40280527685,Carolina Azevedo,2023-05-17,BRL,,Saque,Aprovada,Vestuário,Inter,6,378.83,14745.41
FIN000611,80286051248,Leonardo Braga,2023-12-10,USD,USD 4165.25,PIX,Pendente,Alimentação,C6 Bank,12,277.7,21103.94
FIN000453,57763388043,Rodrigo Farias,2023-07-19,BRL,19888.83,Transferência,Pendente,Vestuário,C6 Bank,6 parcelas,433.13,20321.96
FIN000853,84425066151,Isabela Nunes,2024-07-18,BRL,10550.36,Transferência,Pend.,Viagem,BTG,12,273.48,10823.84
FIN000437,66687424751,Guilherme Mota,2023-07-04,BRL,17012.58,Pagamento,Em processamento,Moradia,Inter,2,405.76,17418.34
FIN000692,68239783352,Guilherme Mota,2024-02-22,BRL,9182.97,Transferência,Aprovada,Viagem,XP,2,73.88,9256.85
FIN000908,98931750193,Amanda Vieira,2024-09-06,BRL,992.15,PIX,Recusada,Viagem,XP,12,16.42,1008.57
FIN000519,81317081777,Marcelo Teixeira,2023-09-17,BRL,16034.24,Transferência,Pendente,Vestuário,BTG,à vista,95.29,16129.53
FIN000023,98242832641,Juliana Queiroz,2022-06-21,BRL,7342.11,Saque,Recusada,Tecnologia,C6 Bank,2,85.13,7427.24
FIN000172,47833276126,Camila Rocha,2022-11-04,BRL,14597.34,Pagamento,Recusada,Vestuário,XP,1,150.91,14748.25
FIN000595,99311211861,Thiago Cavalcanti,2023-11-25,BRL,11291.81,Depósito,Recusada,Viagem,XP,24,116.52,11408.33
FIN000671,60119649292,Rodrigo Farias Farias,03.02.2024,BRL,22971.63,Pagamento,Recusada,Moradia,BTG,3,288.66,23260.29
FIN000606,55059090952,Rodrigo Farias,2023-12-05,BRL,14744.97,dep.,Recusada,Vestuário,C6 Bank,12,197.19,14942.16
FIN000132,31860263296,Juliana Queiroz,2022-09-28,BRL,15039.61,PIX,Recusada,Investimento,BTG,24,-197.81,6015.84
FIN000125,98467391252,Rafael Macedo,2022-09-22,BRL,19421.76,Depósito,Recusada,Vestuário,Inter,12X,366.57,19788.33
FIN000880,17446755979,Thiago Cavalcanti,2024-08-12,BRL,20991.23,PIX,Aprovada,Tecnologia,Inter,6,387.48,21378.71
FIN000699,27613138014,Henrique Pinto,2024-02-28,BRL,24744.59,Saque,APROVADA,Viagem,Banco do Brasil,24,556.88,25301.47
FIN000809,11059180324,Beatriz Lopes,2024-06-08,BRL,4077.85,Depósito,Pendente,Viagem,XP,24,120.65,4198.5
FIN000139,49727524393,Amanda Vieira,2022-10-05,BRL,16457.51,TED,Aprovada,Vestuário,C6 Bank,3,103.13,16560.64
FIN000700,81385352076,Marcelo Teixeira,2024-02-29,BRL,20231.4,Saque,Pendente,Moradia,Banco do Brasil,3,182.07,20413.47
FIN000688,70359453543,Leticia Moura,2024-02-18,BRL,14864.09,transferencia,Aprovada,Alimentação,C6 Bank,24,82.09,14946.18
FIN000216,14995977860,Carolina Azevedo,2022-12-14,BRL,8363.23,Pagamento,Aprovada,Moradia,XP,12,207.95,8571.18
FIN000941,26350244297,Thiago Cavalcanti,2024-10-07,BRL,99999999.0,Saque,Pendente,Viagem,BTG,3,458.33,25417.43
FIN000004,11776156223,Henrique Pinto,2022-06-03,BRL,834.59,Depósito,recus.,Vestuário,BTG,12X,20.93,855.52
FIN000438,35945634312,Guilherme Mota,2023-07-05,BRL,17185.34,Saque,APROVADA,Tecnologia,Banco do Brasil,1,384.15,17569.49
FIN000694,83832289696,Vanessa Coelho,2024-02-24,BRL,20856.06,PIX,Pendente,Viagem,C6 Bank,6,357.28,21213.34
FIN000594,84776760863,Diego Peixoto,2023-11-24,BRL,"R$5.903,58",Saque,Aguardando,Vestuário,XP,3,37.57,5941.15
FIN000051,17018011944,Marcelo Teixeira,2022-07-16,BRL,13756.99,PIX,Recusada,Tecnologia,Inter,2,335.02,14092.01
FIN000435,74359822182,Andre Monteiro,2023-07-02,BRL,24573.24,Transferência,Recusada,Moradia,XP,6,,25260.07
FIN000153,137.973.927-15,Leonardo Braga,2022-10-17,BRL,20483.51,Pagamento,Recusada,Alimentação,XP,12x,435.67,20919.18
FIN000914,86564455040,Guilherme Mota,2024-09-12,BRL,23184.26,Depósito,Aprovado,,C6 Bank,3,479.32,23663.58
FIN000231,40415140264,Andre Monteiro,2022-12-28,EUR,EUR 389.23,PIX,pendente,Investimento,BTG,2x,59.07,2199.84
FIN000419,921-724-856-65,Carolina Azevedo,2023-06-18,BRL,5807.39,Saque,Recusada,Viagem,Inter,2,108.85,5916.24
FIN000583,79697383912,Beatriz Lopes,2023-11-14,BRL,2577.87,Depósito,Aprovada,Moradia,Banco do Brasil,12,58.07,2635.94
